region,district,cereal_share,root_share,legume_share,avg_yield,size_log,num_crops,total_area,total_production,cluster,group_name
ASHANTI,Adansi  South (East),0.31119340772839715,0.6888065922716027,0.0,11.64655432610826,4.933203942300013,6,85744.04000000001,998622.6199999999,0,Root & tuber belt
ASHANTI,Adansi North,0.23715025992318495,0.762849740076815,0.0,12.827834508070044,4.899327785600301,6,79309.97,1017375.1699999999,0,Root & tuber belt
ASHANTI,Afigya Kwabre,0.25524653454610563,0.7405823963095679,0.0041710691443264565,11.06138520649827,4.774396879476747,8,59483.55,657970.4600000002,0,Root & tuber belt
ASHANTI,Ahafo Ano North,0.33830017708616983,0.6596396770246986,0.0020601458891314458,8.917336302735272,5.152094244783442,7,141936.55000000002,1265695.9500000002,0,Root & tuber belt
ASHANTI,Ahafo Ano South,0.2692484130971751,0.7307515869028249,0.0,10.761550534106627,5.256043417008683,6,180319.8,1940520.64,0,Root & tuber belt
ASHANTI,Amansie Central,0.25211254888414514,0.747887451115855,0.0,10.886711027027681,4.926874028987799,6,84503.37,919963.7700000001,0,Root & tuber belt
ASHANTI,Amansie West,0.2608752350251396,0.7391247649748603,0.0,13.918714043612798,4.727313070496463,6,53371.950000000004,742868.9100000001,0,Root & tuber belt
ASHANTI,Asante Akim North,0.4256229974333596,0.5723996739575868,0.0019773286090534583,9.366399073636934,5.125574425700281,7,133528.64,1250682.5299999998,0,Root & tuber belt
ASHANTI,Asante Akim South,0.21417533333391364,0.7858246666660864,0.0,10.88325908416468,5.101657835129114,6,126374.03,1375361.3099999998,0,Root & tuber belt
ASHANTI,Atwima Kwanwoma,0.30279203874661453,0.6972079612533855,0.0,11.4553059746287,4.5537049051216485,6,35785.32,409931.7899999999,0,Root & tuber belt
ASHANTI,Atwima Mponua,0.1908927027205601,0.80910729727944,0.0,10.291170843572575,5.040916990719119,6,109879.57999999999,1130789.53,0,Root & tuber belt
ASHANTI,Atwima Nwabiagya,0.2631575666392031,0.7352069909096224,0.0016354424511745105,10.817329059427436,5.024787229342596,8,105873.48999999999,1145268.38,0,Root & tuber belt
ASHANTI,Bekwai Municipal (Amansie East),0.2604177399725635,0.7395822600274364,0.0,14.609451227116546,4.764432073929691,6,58134.25,849309.4900000001,0,Root & tuber belt
ASHANTI,Bosome Freho,0.24961534282389375,0.7503846571761063,0.0,10.430988977446441,4.683270074969421,6,48224.76,503031.94000000006,0,Root & tuber belt
ASHANTI,Bosumtwe,0.27114677726534686,0.7194815294116492,0.009371693323003983,11.188946612375386,4.485063952212011,7,30553.71,341863.82999999996,0,Root & tuber belt
ASHANTI,Ejura Sekyedumase,0.48838870092842146,0.32153675423581163,0.1900745448357669,6.468966573356542,5.357123501805278,8,227574.45,1472171.5099999998,3,Northern cereal-legume
ASHANTI,Ejusu Juaben,0.253354679445019,0.7466453205549811,0.0,11.345559934588879,4.872697026072541,6,74592.81999999999,846297.3099999999,0,Root & tuber belt
ASHANTI,K. M. A.,0.23702580646029212,0.7629741935397079,0.0,10.087151119069174,3.87118808757584,6,7433.41,74981.93,0,Root & tuber belt
ASHANTI,Kwabre East,0.10456404012682903,0.8954359598731712,0.0,13.413031354290396,4.605779816333015,6,40344.079999999994,541136.41,0,Root & tuber belt
ASHANTI,Mampong Municipal (Sekyere West),0.3984018701223175,0.5709408954991917,0.030657234378490775,11.268602991932504,5.106047900035648,8,127657.95999999999,1438526.8699999999,0,Root & tuber belt
ASHANTI,Obuasi (Adansi West),0.33545665442607725,0.6645433455739228,0.0,9.708076740072261,3.6427107814479784,6,4392.49,42642.630000000005,1,Mixed transitional
ASHANTI,Obuasi Municipal (Adansi West),0.3125447810444761,0.6874552189555241,0.0,8.097873015907531,3.9636712130634484,6,9197.529999999999,74480.43,1,Mixed transitional
ASHANTI,Offinso,0.51490801220408,0.4669094376390002,0.01818255015691976,8.877320268709216,4.8962002641119255,8,78740.88,699008.0100000001,1,Mixed transitional
ASHANTI,Offinso North,0.4823348235529691,0.48914225539816225,0.028522921048868624,7.909322451462283,5.095351089187619,8,124552.11,985122.7999999999,1,Mixed transitional
ASHANTI,Sekyere Afram Plains,0.32271648943275566,0.6594950200342801,0.017788490532964267,10.0043340440726,4.5500347736176066,8,35484.18,354995.5900000001,0,Root & tuber belt
ASHANTI,Sekyere Central,0.35954608014857387,0.6124616251197331,0.027992294731692836,11.722203028369536,4.948420693021585,8,88801.58000000002,1040950.1499999999,0,Root & tuber belt
ASHANTI,Sekyere East,0.41461691749811247,0.5792551042582764,0.0061279782436110776,16.710969283620464,4.790346889996683,8,61708.770000000004,1031213.3600000001,0,Root & tuber belt
ASHANTI,Sekyere South,0.3408785995450565,0.6542209191795287,0.004900481275414913,9.97477088850941,4.861686775493647,8,72725.51,725420.2999999999,0,Root & tuber belt
BRONG AHAFO,Asunafo North,0.3341338980928427,0.6658661019071573,0.0,9.44564608683387,4.934128840702086,6,85926.84,811634.52,0,Root & tuber belt
BRONG AHAFO,Asunafo South,0.1308379113740621,0.8691620886259378,0.0,15.209536540319567,5.261985266822249,6,182803.82,2780361.380000001,0,Root & tuber belt
BRONG AHAFO,Asutifi,0.11658396556088328,0.8834160344391165,0.0,13.71293964417674,5.250652117027228,6,178095.16000000003,2442208.18,0,Root & tuber belt
BRONG AHAFO,Asutifi North,0.09596789604433403,0.9040321039556659,0.0,13.758945155742406,4.417720739075684,6,26165.0,360002.80000000005,0,Root & tuber belt
BRONG AHAFO,Asutifi South,0.11621483810656921,0.8837851618934308,0.0,13.901624033313505,4.371695749117709,6,23534.0,327160.82,0,Root & tuber belt
BRONG AHAFO,Atebubu -Amantin,0.06250894976703687,0.8944396506996664,0.043051399533296945,17.74990993313383,5.271067245357055,8,186666.86999999997,3313320.1300000004,0,Root & tuber belt
BRONG AHAFO,Banda,0.05910937624472238,0.9089460686688441,0.03194455508643352,16.44674101808333,4.098747528824818,6,12553.0,206455.94000000003,0,Root & tuber belt
BRONG AHAFO,Berekum,0.4333998099831827,0.5666001900168172,0.0,9.71739739530411,5.1607616934755765,5,144797.71000000002,1407056.8900000001,1,Mixed transitional
BRONG AHAFO,Dormaa,0.6424964301884164,0.3575035698115836,0.0,7.991624699613415,4.458078570949283,4,28713.0,229463.52,1,Mixed transitional
BRONG AHAFO,Dormaa East,0.5404655215011117,0.4595344784988882,0.0,11.05706340021412,5.0620345410942065,5,115354.50000000001,1275482.02,1,Mixed transitional
BRONG AHAFO,Dormaa Municipal,0.5229414161901645,0.47705858380983546,0.0,7.706033815991262,5.118931334217093,6,131501.69,1013356.47,1,Mixed transitional
BRONG AHAFO,Dormaa West,0.49340735600277585,0.5065926439972241,0.0,8.843827470239685,4.272607333120826,6,18733.0,165671.42,1,Mixed transitional
BRONG AHAFO,Jaman North,0.19979281299556126,0.8002071870044386,0.0,12.928316741506622,4.871045391105884,5,74309.68000000001,960699.0799999998,0,Root & tuber belt
BRONG AHAFO,Jaman South,0.2302592031696063,0.7697407968303938,0.0,12.000340927106533,5.1235325295622545,5,132902.31,1594873.0299999998,0,Root & tuber belt
BRONG AHAFO,Kintampo North,0.6103151750727095,0.32333944707782575,0.06634537784946484,7.2550372934081135,5.3332565057839725,9,215405.36,1562773.9200000002,3,Northern cereal-legume
BRONG AHAFO,Kintampo South,0.4272835769440417,0.5727164230559582,0.0,13.417264138747079,5.084918002914608,5,121595.64000000001,1631480.82,0,Root & tuber belt
BRONG AHAFO,Nkoranza North,0.5716006485135687,0.428399351486431,0.0,8.40103514727288,5.241604971940668,6,174423.49000000005,1465337.87,1,Mixed transitional
BRONG AHAFO,Nkoranza South,0.5081069255264843,0.36951562031552593,0.12237745415798984,8.162324750026336,5.198570879190277,8,157968.63999999998,1289391.34,3,Northern cereal-legume
BRONG AHAFO,Pru,0.10690606081649086,0.8281685159120922,0.06492542327141707,15.359400114494573,5.151373037718199,5,141701.03999999998,2176442.9699999997,0,Root & tuber belt
BRONG AHAFO,Sene,0.1929863309020621,0.7646093819278177,0.042404287170120195,14.596839513171158,5.336849863221991,5,217195.02000000002,3170360.85,0,Root & tuber belt
BRONG AHAFO,Sene East,0.24767173167145157,0.6877319515440096,0.06459631678453889,14.06195784608921,4.455788614818158,5,28562.0,401637.64,0,Root & tuber belt
BRONG AHAFO,Sene West,0.174294625371727,0.7886414738521796,0.03706390077609342,15.814702255748168,4.440499771253411,5,27574.0,436074.6,0,Root & tuber belt
BRONG AHAFO,Sunyani,0.7391724769708382,0.2608275230291618,0.0,6.113689755203827,4.293340452648696,3,19649.0,120127.89,2,Other
BRONG AHAFO,Sunyani Municipal,0.611881915295701,0.3881180847042991,0.0,6.410752986739133,4.990404882068231,5,97814.87,627066.97,1,Mixed transitional
BRONG AHAFO,Sunyani West,0.6653496917586431,0.334650308241357,0.0,5.9508333792303905,5.212793621675553,5,163227.61,971340.3100000002,1,Mixed transitional
BRONG AHAFO,Tain,0.10362638391202147,0.8547570359973464,0.04161658009063201,14.908423312053436,4.99062243019753,7,97863.88,1458996.1500000001,0,Root & tuber belt
BRONG AHAFO,Tano North,0.390622382528909,0.609377617471091,0.0,10.076151835645542,4.870059728104506,6,74141.22,747058.19,1,Mixed transitional
BRONG AHAFO,Tano South,0.26211571059701805,0.737884289402982,0.0,13.646179108805704,5.038139549727551,6,109179.11,1489877.69,0,Root & tuber belt
BRONG AHAFO,Techiman,0.3112014900775029,0.6701799015920399,0.018618608330457177,12.339275674910331,5.1744879569946445,7,149447.26,1844070.94,0,Root & tuber belt
BRONG AHAFO,Techiman Municipal,0.27859788221793336,0.6969902456835846,0.02441187209848208,13.09584424391007,4.28264476718974,7,19171.0,251060.42999999996,0,Root & tuber belt
BRONG AHAFO,Techiman North,0.30336453795532486,0.6815738251923256,0.015061636852349616,12.871466308276949,4.334011188761349,6,21578.0,277740.5,0,Root & tuber belt
BRONG AHAFO,Wenchi,0.36653062203107156,0.5744296130002317,0.05903976496869672,11.272871089537897,5.202284363286108,7,159325.16,1796051.99,0,Root & tuber belt
BRONG AHAFO,Wenchi Municipal,0.3001556462000859,0.6248121511378274,0.07503220266208674,12.378624141262344,4.571289471190606,7,37264.0,461277.05,0,Root & tuber belt
CENTRAL,Abura-Asebu-Kwamankese,0.3881573696461937,0.6118426303538061,0.0,5.6450700538542256,4.794278517002389,6,62269.950000000004,351518.23,1,Mixed transitional
CENTRAL,Agona East,0.3384272915901767,0.6615727084098233,0.0,8.900267762554222,4.522225335665073,6,33283.22,296229.56999999995,1,Mixed transitional
CENTRAL,Agona West,0.3270044388065572,0.6729955611934428,0.0,10.431992355903532,3.987311803931365,5,9712.07,101316.24,1,Mixed transitional
CENTRAL,Agona West (Swedru),0.3446428670214956,0.6553571329785043,0.0,8.257767749081529,4.211357388842977,5,16268.87,134344.55000000002,1,Mixed transitional
CENTRAL,Ajumako-Enyan-Esiam,0.3616298689271831,0.6383701310728168,0.0,10.362966289052832,4.8053113991988825,5,63872.130000000005,661904.7300000001,1,Mixed transitional
CENTRAL,Asikuma-Odoben-Brakwa,0.437227254344224,0.5627727456557758,0.0,8.749121727794835,4.703215520457822,6,50491.18000000001,441753.48000000004,1,Mixed transitional
CENTRAL,Assin North,0.5376400641292538,0.46235993587074625,0.0,7.4680825396838015,5.002745857419371,6,100634.26,751544.96,1,Mixed transitional
CENTRAL,Assin South,0.39803735346906033,0.6019626465309396,0.0,15.263610639723389,4.708588721248036,6,51119.75000000001,780271.9599999998,0,Root & tuber belt
CENTRAL,Awutu-Senya,0.2894409305188535,0.7105590694811466,0.0,11.444241237334698,5.231025613498514,4,170225.88999999998,1948106.15,0,Root & tuber belt
CENTRAL,Cape Coast,0.4318949835492609,0.5681050164507391,0.0,11.702554540813857,4.82668530257923,3,67094.25,785174.1200000001,1,Mixed transitional
CENTRAL,Effutu (Winneba),0.3784356831116002,0.6215643168883999,0.0,9.959183502570964,4.862395693527723,4,72844.31999999999,725469.9500000001,1,Mixed transitional
CENTRAL,Gomoa East,0.6234106697523449,0.3765893302476551,0.0,8.585072893636431,4.337846259847453,5,21769.39,186891.8,1,Mixed transitional
CENTRAL,Gomoa West,0.49891548638251404,0.5010845136174858,0.0,8.439053268400697,4.496371622413445,4,31359.680000000004,264646.01,1,Mixed transitional
CENTRAL,Komenda-Edina-Eguafo-Abirem,0.4010733537967909,0.598926646203209,0.0,11.672479954184901,5.165118026919743,3,146257.46000000002,1707187.2700000003,1,Mixed transitional
CENTRAL,Mfantsiman,0.39230604162365545,0.6076939583763447,0.0,9.14058564747481,4.958872509612319,3,90964.62,831469.8999999999,1,Mixed transitional
CENTRAL,Twifo-Herman/L. Denkyira,0.30677456379970997,0.69322543620029,0.0,13.032944283794688,4.879311366898872,6,75737.57,987083.5300000001,0,Root & tuber belt
CENTRAL,Upper Denkyira East,0.37571464517670083,0.6242853548232992,0.0,8.751297895732089,4.70030782700587,6,50154.259999999995,438914.87,1,Mixed transitional
CENTRAL,Upper Denkyira West,0.306859249454359,0.6931407505456411,0.0,9.418118364751,4.934288979895869,6,85958.53,809567.6099999999,0,Root & tuber belt
EASTERN,Afram Plains,0.31783505840283605,0.5910756035265656,0.09108933807059841,14.601005678862316,5.490574684007867,8,309438.74,4518116.8,0,Root & tuber belt
EASTERN,Akuapim North,0.3923195777882871,0.6076804222117129,0.0,16.041458000180377,5.038283681883363,5,109215.35,1751973.45,0,Root & tuber belt
EASTERN,Akuapim South,0.41666970987383717,0.579306108361692,0.004024181764470683,13.978146250165306,4.808555097665773,6,64350.97,899507.2700000001,0,Root & tuber belt
EASTERN,Akyemansa,0.3258435392915313,0.6741564607084687,0.0,11.810708264477846,5.032367780548194,6,107737.72,1272458.78,0,Root & tuber belt
EASTERN,Asuogyaman,0.37342675993541014,0.6265732400645899,0.0,14.592039648944468,5.0372601591939645,5,108958.26,1589923.25,0,Root & tuber belt
EASTERN,Atiwa,0.26410127248250737,0.7358987275174926,0.0,16.389021352308788,5.086181128011653,6,121949.81,1998638.0399999998,0,Root & tuber belt
EASTERN,Ayensuano,0.2978215832757863,0.7021784167242137,0.0,15.039910226630674,4.202188512266052,5,15929.0,239570.73,0,Root & tuber belt
EASTERN,Birim Central,0.40698325107963523,0.5930167489203648,0.0,12.11127173199792,5.09348731470786,6,124018.74,1502024.66,0,Root & tuber belt
EASTERN,Birim North,0.3384824312694944,0.6615175687305057,0.0,12.4479042187961,4.884623990493005,6,76669.73999999999,954377.5800000001,0,Root & tuber belt
EASTERN,Birim South,0.4014062650534933,0.5985937349465066,0.0,12.34947040039417,4.954201828617605,6,89991.57,1111348.23,0,Root & tuber belt
EASTERN,Denkyembour,0.2853072466521037,0.7146927533478963,0.0,12.048585810618292,4.022387125686438,6,10529.0,126859.56,0,Root & tuber belt
EASTERN,East Akim,0.2829087037575105,0.7170912962424896,0.0,12.844701545362618,4.995709281548589,6,99016.88999999998,1271842.4000000001,0,Root & tuber belt
EASTERN,Fanteakwa,0.2866629601596023,0.6997489496914188,0.013588090148978892,13.04754812574819,5.435098468204555,8,272331.87,3553263.1799999997,0,Root & tuber belt
EASTERN,Kwaebibirem,0.31846308292972836,0.6815369170702716,0.0,11.655870505193056,5.026146353602601,6,106205.34,1237915.6900000002,0,Root & tuber belt
EASTERN,Kwahu Afram Plains North,0.30784724679495906,0.6037725577723945,0.08838019543264651,15.712967963199873,4.5651273310554625,8,36739.0,577278.7300000001,0,Root & tuber belt
EASTERN,Kwahu Afram Plains South,0.30782938217580585,0.6037940134888232,0.08837660433537094,15.713053932736335,4.646727120863103,8,44333.0,696606.82,0,Root & tuber belt
EASTERN,Kwahu East,0.22676042690350412,0.7212055518050465,0.052034021291449295,10.846887079334937,4.796155515849588,7,62539.66,678360.63,0,Root & tuber belt
EASTERN,Kwahu South,0.260170405959625,0.697256282207538,0.04257331183283715,10.528785091720257,4.902271222021087,7,79849.31999999999,840716.3300000001,0,Root & tuber belt
EASTERN,Kwahu West,0.24407648781993688,0.7559235121800632,0.0,16.76667808338283,4.910474510080966,6,81371.91,1364336.62,0,Root & tuber belt
EASTERN,Lower Manya Krobo,0.5214448246403082,0.47588122821846857,0.0026739471412234274,11.2373557051227,4.742785991095088,7,55307.74999999999,621512.86,1,Mixed transitional
EASTERN,New Juaben,0.4474388592691387,0.5494734614779205,0.0030876792529408712,11.277081980906965,4.7344344846894515,6,54254.34,611830.64,1,Mixed transitional
EASTERN,Nsawam Adoagyiri,0.3830528148578062,0.6109498935964404,0.005997291545753531,15.555516540917004,4.0144365278316725,6,10338.0,160812.93,0,Root & tuber belt
EASTERN,Suhum Kraboa Coaltar,0.3072576247403581,0.6927423752596419,0.0,14.414692833305184,5.0661891290169585,5,116463.31,1678782.8399999999,0,Root & tuber belt
EASTERN,Upper Manya Krobo,0.5144287934755464,0.482695162384497,0.0028760441399566876,11.34212950969685,4.933743132392878,7,85850.56,973728.17,1,Mixed transitional
EASTERN,Upperwest Akim,0.32856316094070603,0.671436839059294,0.0,16.112250749723785,4.278913574715962,6,19007.0,306245.55,0,Root & tuber belt
EASTERN,West Akim,0.34824196397553087,0.6517580360244691,0.0,15.224652442970497,5.238399043601066,6,173140.65,2636006.2199999997,0,Root & tuber belt
EASTERN,Yilo Krobo,0.37520530210464426,0.6238936782557316,0.000901019639624247,10.837152203654696,5.049759080100421,7,112139.62,1215274.1300000001,0,Root & tuber belt
GREATER ACCRA,A.M.A,0.96345084900632,0.036549150993680043,0.0,1.6304728546409806,2.1183639442634408,2,131.32999999999998,214.12999999999997,2,Other
GREATER ACCRA,Adenta-Madina,0.8766859344894028,0.1233140655105973,0.0,2.088535645472062,2.4933186082321015,2,311.4,650.37,2,Other
GREATER ACCRA,Adentan,0.8698533750964637,0.13014662490353623,0.0,2.166280811657361,2.342994782927477,2,220.29000000000002,477.21000000000004,2,Other
GREATER ACCRA,Ashaiman,1.0000000000000002,0.0,0.0,2.3978502210932358,2.628552398380802,2,425.15999999999997,1019.47,2,Other
GREATER ACCRA,Dangbe West,0.714850104292512,0.28514989570748805,0.0,9.116224607992613,4.512394725519157,3,32538.29,296626.36,1,Mixed transitional
GREATER ACCRA,Dangme East,0.11564541355595778,0.8843545864440422,0.0,10.09678761400238,4.219720189306362,2,16585.18,167457.04,1,Mixed transitional
GREATER ACCRA,Ga East,0.6803777270245539,0.3196222729754462,0.0,6.319514614621544,3.4151102961744133,3,2600.8199999999997,16435.920000000002,2,Other
GREATER ACCRA,Ga South,0.3765763827148608,0.6234236172851391,0.0,10.973617001998969,3.5479985615536735,2,3531.8200000000006,38756.840000000004,1,Mixed transitional
GREATER ACCRA,Ga West,0.3781591327890961,0.621840867210904,0.0,12.079325502630253,3.9873936283040203,3,9713.9,117337.36,1,Mixed transitional
GREATER ACCRA,Ledzokuku-Krowor,0.9367088607594937,0.06329113924050633,0.0,1.154638201398073,2.024731889655249,2,105.86,122.23,2,Other
